詞語	吳拼
〇二	lin gni
〇兩	lin lian
一上去	iq zaon chi
一下去	iq gho chi
一世	iq shi
一世紀	iq syu ci
一九九二	iq cieu cieu gni
一九九兩	iq cieu cieu lian
一乾而盡	iq kI er jin
一了	iq liau
一了心願	iq liau shin gniu
一了百了	iq liau paq liau
一了百當	iq liau paq taon
一二	iq gni
一二三	iq gni sae
一兩三	iq lian sae
一些人	iq shiq gnin
一些問題	iq shiq ven di
一人之下萬人之上	iq gnin tsy gho vae gnin tsy zaon
一人份	iq gnin ven
一人傳虛	iq gnin dzoe shiu
一人得道	iq gnin taq dau
一人得道雞犬升天	iq gnin taq dau ci chiu shin thi
一仗	iq cian
一代人	iq de gnin
一代新人換舊人	iq de shin gnin wun jieu gnin
一佛出世	iq baq chiq shi
一個不小心	iq goq paq shiau shin
一個勿小心	iq goq vaq shiau shin
一個弗小心	iq goq vaq shiau shin
一個中國政策	iq goq tson koq cin tshaq
一個人	iq goq gnin
一個人住	iq goq gnin dzyu
一個人走	iq goq gnin tseu
一個個	iq goq goq
一個勁	iq goq jin
一個女生	iq goq gniu san
一個女生	iq kou gniu san
一個巴掌拍勿響	iq goq po tsaon phaq vaq shian
一個巴掌拍弗響	iq goq po tsaon phaq vaq shian
一個心眼	iq goq shin ngae
一個接一個	iq goq ciq iq goq
一個樣	iq goq yan
一個準	iq goq tsyun
一個紅臉一個白臉	iq goq ghon li iq goq baq li
一個蘿蔔一個坑	iq goq lou boq iq goq khan
一隻跟斗十萬八千里	iq tsaq ken teu zyuq vae paq chi li
一隻鑊裏吃飯個	iq tsaq ghoq li chioq vae goq
一隻鑊裏吃飯個	iq tsaq ghoq li chioq vae ghoq
一隻頭兩隻大	iq tsaq deu lian tsaq dou
一隻鼻孔出氣	iq tsaq biq khon tshyuq chi
一億人	iq i gnin
一償宿願	iq dzaon soq gniu
一出去	iq tshyuq chi
一出生	iq tshyuq san
一分	iq fen
一分一秒	iq fen iq miau
一分子	iq ven tsy
一分收穫	iq fen shieu ghoq
一分爲二	iq fen wei gni
一分耕耘	iq fen ken yun
一分耕耘一分收穫	iq fen ken yun iq fen shieu ghoq
一分貨	iq fen hou
一分錢	iq fen ji
一分洋鈿	iq fen yan di
一分錢一分貨	iq fen ji iq fen hou
一分洋鈿一分貨	iq fen yan di iq fen hou
一分鐘	iq fen tson
一切從簡	iq chiq dzon ci
一加侖	iq cia len
一千人	iq chi gnin
一千個	iq chi goq
一千零兩	iq chi lin lian
一口吃隻胖子	iq kheu chioq tsaq phaon tsy
一吹	iq tshyu
一味	iq vi
一哄而上	iq ghon er zaon
一哄而起	iq ghon er chi
一員大將	iq yu da cian
一回去	iq wei chi
一回生	iq wei san
一回生兩回熟	iq wei san lian wei zoq
一報還一報	iq pau wae iq pau
一場夢	iq jian mon
一場春夢	iq jian tshyun mon
一夕之間	iq zhiq tsy ci
一夜之間	iq ya tsy ci
一夜無夢	iq ya Wu mon
一夜無夢	iq ya vu mon
一夢漫言	iq mon mae yi
一夥人	iq hou gnin
一日一個樣	iq gniq iq goq yan
一夫當關萬夫莫敵	iq fu taon kuae vae fu moq diq
一夫當關萬夫莫開	iq fu taon kuae vae fu moq khe
一字不差	iq zy paq tsho
一字勿差	iq zy vaq tsho
一字弗差	iq zy vaq tsho
一字之差	iq zy tsy tsho
一字長蛇陣	iq zy jian dzo jin
一學到	iq ghoq tau
一學期	iq ghoq ji
一學起	iq ghoq chi
一小撮	iq shiau tshoq
一小部分	iq shiau bu ven
一干人	iq kI gnin
一心兩用	iq shin lian yon
一念之間	iq nE tsy ci
一意孤行	iq i ku yin
一技之長	iq ji tsy jian
一把辛酸淚	iq po shin soe lei
一拉	iq lha
一拉之下	iq lha tsy gho
一掬同情之淚	iq ciuq don jin tsy lei
一撮	iq tshoq
一改故轍	iq ke ku ciq
一新耳目	iq shin er moq
